year,skpd,name,dpa
2013,BLUD RS Cengkareng,Tunjangan Fungsional,"88,278,125"
2013,Kabupaten Administrasi Kepulauan Seribu - Kep. Seribu,Gaji Pokok,"9,396,155,490"
2013,Badan Penanggulangan Bencana Daerah,Tunjangan Keluarga,"96,159,942"
2013,DINAS PENDIDIKAN,Tunjangan Khusus (PPh)/Tunjangan PPh,"541,936,893,844"
2013,DINAS PERINDUSTRIAN Dan ENERGI,Tunjangan Jabatan,"1,019,495,750"
2013,DINAS OLAH RAGA Dan PEMUDA,Tunjangan Keluarga,"1,428,983,728"
2013,DINAS PEKERJAAN UMUM,Pembulatan Gaji,"873,260"
2013,DINAS KESEHATAN,Tunjangan Fungsional,"18,918,309,196"
2013,DINAS PELAYANAN PAJAK,Biaya Pemungutan PBB,"108,000,000,000"
2013,BLUD RS Budhi Asih,Pembulatan Gaji,"191,513"
2013,DINAS PELAYANAN PAJAK,Tunjangan Khusus (PPh)/Tunjangan PPh,"1,530,127,868"
2013,BADAN PERPUSTAKAAN DAN ARSIP DAERAH,Tunjangan Jabatan,"481,832,000"
2013,BADAN PENANAMAN MODAL Dan PROMOSI,Tunjangan Kinerja,"5,272,500,000"
2013,BADAN PENGELOLA LINGKUNGAN HIDUP DAERAH,Tunjangan Keluarga,"949,012,164"
2013,DINAS PEMADAM KEBAKARAN Dan PENANGGULANGAN BENCANA,Gaji Pokok,"90,989,761,800"
2013,"DINAS KOMUNIKASI, INFORMATIKA Dan KEHUMASAN",Tunjangan Beras,"624,004,440"
2013,Kota Administrasi Jakarta Utara,Gaji Pokok,"26,874,688,582"
2013,DINAS PERINDUSTRIAN Dan ENERGI,Tunjangan Keluarga,"1,338,140,222"
2013,SEKRETARIAT DPRD,Gaji Pokok,"5,924,131,156"
2013,"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB",Gaji Pokok,"40,375,994,678"
2013,BADAN PENDIDIKAN Dan PELATIHAN,Tunjangan Kinerja,"4,997,031,792"
2013,PEJABAT PENGELOLA KEUANGAN DAERAH,Belanja Tidak Terduga,"108,447,670,000"
